project,issue type,issue_status,issue_num,user_name,datetime,comment type,related_issue,issue_url,,,
rasa,Functional,Open,#10820,TimWaWIT,7-Feb-22,Modified,,https://github.com/RasaHQ/rasa/issues/10820,,,
rasa,Functional,Open,#10820,rasabot-exalate,15-Mar-22,Modified,,https://github.com/RasaHQ/rasa/issues/10820,,,
rasa,Functional,Open,#10820,m-vdb,16-Mar-22,Modified,,https://github.com/RasaHQ/rasa/issues/10820,,,
rasa,Functional,Open,#10820,rasabot-exalate,17-Mar-22,Modified,,https://github.com/RasaHQ/rasa/issues/10820,,,
rasa,Captions,Closed,#6765,erohmensing,23-Sep-20,Commented,,https://github.com/RasaHQ/rasa/issues/6765,,,
rasa,Captions,Closed,#6765,erohmensing,23-Sep-20,Modified,,https://github.com/RasaHQ/rasa/issues/6765,,,
rasa,Captions,Closed,#6765,m-vdb,23-Sep-20,Modified,,https://github.com/RasaHQ/rasa/issues/6765,,,
rasa,Captions,Closed,#6765,erohmensing,28-Sep-20,Modified,,https://github.com/RasaHQ/rasa/issues/6765,,,
rasa,Captions,Closed,#6765,erohmensing,28-Sep-20,Solved,#6822,https://github.com/RasaHQ/rasa/issues/6765,,,
rasa,Captions,Closed,#6765,rasabot,3-Oct-20,Solved,,https://github.com/RasaHQ/rasa/issues/6765,,,
rasa,Functional,Open,#11414,adamwojt,4-Aug-22,Commented,,https://github.com/RasaHQ/rasa/issues/11414,,,
rasa,Functional,Open,#11414,ancalita,24-Aug-22,Commented,,https://github.com/RasaHQ/rasa/issues/11414,,,
rasa,Functional,Open,#11414,adamwojt,9-Sep-22,Commented,,https://github.com/RasaHQ/rasa/issues/11414,,,
rasa,Functional,Open,#11414,ancalita,22-Sep-22,Commented,,https://github.com/RasaHQ/rasa/issues/11414,,,
rasa,Functional,Open,#11414,adamwojt,4-Aug-22,Modified,,https://github.com/RasaHQ/rasa/issues/11414,,,
rasa,Functional,Open,#11414,ancalita,24-Aug-22,Modified,,https://github.com/RasaHQ/rasa/issues/11414,,,
rasa,Functional,Closed,#10823,koaning,7-Feb-22,Commented,,https://github.com/RasaHQ/rasa/issues/10823,,,
rasa,Functional,Closed,#10823,koaning,7-Feb-22,Modified,,https://github.com/RasaHQ/rasa/issues/10823,,,
rasa,Functional,Closed,#10823,TyDunn,7-Feb-22,Modified,,https://github.com/RasaHQ/rasa/issues/10823,,,
rasa,Functional,Closed,#10823,TyDunn,14-Feb-22,Modified,,https://github.com/RasaHQ/rasa/issues/10823,,,
rasa,Functional,Closed,#10823,m-vdb,15-Feb-22,Modified,,https://github.com/RasaHQ/rasa/issues/10823,,,
rasa,Functional,Closed,#10823,sanchariGr,23-Feb-22,Solved,#10940,https://github.com/RasaHQ/rasa/issues/10823,,,
rasa,Functional,Closed,#10823,ancalita,23-Feb-22,Solved,#10940,https://github.com/RasaHQ/rasa/issues/10823,,,
rasa,Functional,Closed,#10823,m-vdb,3-Mar-22,Closed,,https://github.com/RasaHQ/rasa/issues/10823,,,
rasa,Functional,Open,#10803,travelmail26,2-Feb-22,Commented,,https://github.com/RasaHQ/rasa/issues/10803,,,
rasa,Functional,Open,#10803,sara-tagger,3-Feb-22,Commented,,https://github.com/RasaHQ/rasa/issues/10803,,,
rasa,Functional,Open,#10803,travelmail26,30-May-22,Commented,,https://github.com/RasaHQ/rasa/issues/10803,,,
rasa,Functional,Open,#10803,travelmail26,2-Feb-22,Modified,,https://github.com/RasaHQ/rasa/issues/10803,,,
rasa,Functional,Open,#10803,rasabot-exalate,15-Mar-22,Modified,,https://github.com/RasaHQ/rasa/issues/10803,,,
rasa,Functional,Open,#10803,rasabot,16-Mar-22,Modified,,https://github.com/RasaHQ/rasa/issues/10803,,,
rasa,Display,Closed,#10399,Horizon733,26-Nov-21,Commented,,https://github.com/RasaHQ/rasa/issues/10399,,,
rasa,Display,Closed,#10399,sara-tagger,26-Nov-21,Commented,,https://github.com/RasaHQ/rasa/issues/10399,,,
rasa,Display,Closed,#10399,Horizon733,26-Nov-21,Modified,,https://github.com/RasaHQ/rasa/issues/10399,,,
rasa,Display,Closed,#10399,TyDunn,30-Nov-21,Modified,,https://github.com/RasaHQ/rasa/issues/10399,,,
rasa,Display,Closed,#10399,m-vdb,1-Dec-21,Modified,,https://github.com/RasaHQ/rasa/issues/10399,,,
rasa,Display,Closed,#10399,m-vdb,1-Dec-21,Solved,#10431,https://github.com/RasaHQ/rasa/issues/10399,,,
rasa,Display,Closed,#10399,m-vdb,1-Dec-21,Solved,#10431,https://github.com/RasaHQ/rasa/issues/10399,,,
rasa,Display,Closed,#10399,m-vdb,2-Dec-21,Closed,,https://github.com/RasaHQ/rasa/issues/10399,,,
rasa,Functional,Closed,#10102,georak,8-Nov-21,Commented,,https://github.com/RasaHQ/rasa/issues/10102,,,
rasa,Functional,Closed,#10102,koaning,8-Nov-21,Commented,,https://github.com/RasaHQ/rasa/issues/10102,,,
rasa,Functional,Closed,#10102,georak,8-Nov-21,Commented,,https://github.com/RasaHQ/rasa/issues/10102,,,
rasa,Functional,Closed,#10102,georak,8-Nov-21,Commented,,https://github.com/RasaHQ/rasa/issues/10102,,,
rasa,Functional,Closed,#10102,koaning,8-Nov-21,Commented,,https://github.com/RasaHQ/rasa/issues/10102,,,
rasa,Functional,Closed,#10102,georak,8-Nov-21,Commented,,https://github.com/RasaHQ/rasa/issues/10102,,,
rasa,Functional,Closed,#10102,koaning,8-Nov-21,Commented,,https://github.com/RasaHQ/rasa/issues/10102,,,
rasa,Functional,Closed,#10102,georak,8-Nov-21,Commented,,https://github.com/RasaHQ/rasa/issues/10102,,,
rasa,Functional,Closed,#10102,koaning,8-Nov-21,Commented,,https://github.com/RasaHQ/rasa/issues/10102,,,
rasa,Functional,Closed,#10102,koaning,10-Nov-21,Commented,,https://github.com/RasaHQ/rasa/issues/10102,,,
rasa,Functional,Closed,#10102,georak,8-Nov-21,Modified,,https://github.com/RasaHQ/rasa/issues/10102,,,
rasa,Functional,Closed,#10102,georak,8-Nov-21,Modified,,https://github.com/RasaHQ/rasa/issues/10102,,,
rasa,Functional,Closed,#10102,koaning,10-Nov-21,Closed,,https://github.com/RasaHQ/rasa/issues/10102,,,
rasa,Color,Closed,#6771,andrew-mcmaster,23-Sep-20,Commented,,https://github.com/RasaHQ/rasa/issues/6771,,,
rasa,Color,Closed,#6771,sara-tagger,24-Sep-20,Commented,,https://github.com/RasaHQ/rasa/issues/6771,,,
rasa,Color,Closed,#6771,akelad,25-Sep-20,Commented,,https://github.com/RasaHQ/rasa/issues/6771,,,
rasa,Color,Closed,#6771,TyDunn,25-Sep-20,Commented,,https://github.com/RasaHQ/rasa/issues/6771,,,
rasa,Color,Closed,#6771,edmacovaz,25-Sep-20,Commented,,https://github.com/RasaHQ/rasa/issues/6771,,,
rasa,Color,Closed,#6771,edmacovaz,25-Sep-20,Commented,,https://github.com/RasaHQ/rasa/issues/6771,,,
rasa,Color,Closed,#6771,andrew-mcmaster,25-Sep-20,Commented,,https://github.com/RasaHQ/rasa/issues/6771,,,
rasa,Color,Closed,#6771,TyDunn,26-Sep-20,Commented,,https://github.com/RasaHQ/rasa/issues/6771,,,
rasa,Color,Closed,#6771,edmacovaz,28-Sep-20,Commented,,https://github.com/RasaHQ/rasa/issues/6771,,,
rasa,Color,Closed,#6771,Kadrian,2-Jul-21,Commented,,https://github.com/RasaHQ/rasa/issues/6771,,,
rasa,Color,Closed,#6771,edmacovaz,2-Jul-21,Commented,,https://github.com/RasaHQ/rasa/issues/6771,,,
rasa,Color,Closed,#6771,alexweidauer,8-Jun-22,Commented,,https://github.com/RasaHQ/rasa/issues/6771,,,
rasa,Color,Closed,#6771,andrew-mcmaster,23-Sep-20,Modified,,https://github.com/RasaHQ/rasa/issues/6771,,,
